,contributor,type,confidence,events,NA,NT,NOR,ORR,DCA_mean,DCA_median,DCA_std,DCA_gini,NAR_mean,NAR_median,NAR_gini,NAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NCAR_mean,NCAR_std,NCAR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR
0,contributor,Human,0.942,44,42,9,9,0.6,48.666,0.169,112.671,0.85,2.8,3.0,0.314,2.0,1.667,1.0,0.816,0.245,1.909,1.231,1.75,2.716,0.0,7.079,0.12,92.17,0.675,145.834,0.73,138.761,61.779,0.334,128.978,0.824,37.078,4.667,3.0,4.975,0.466,3.0
1,piegamesde,Human,0.958,100,84,11,10,0.769,19.986,1.189,38.179,0.775,6.462,2.0,0.623,7.0,2.308,2.0,2.016,0.364,1.909,1.75,1.0,6.028,0.0,18.834,0.356,32.409,10.926,46.736,0.669,52.428,25.567,7.349,42.252,0.722,33.09,7.636,3.0,6.712,0.457,10.5
2,gaoyunhaii,Unknown,-,2,2,1,2,1.0,640.319,640.319,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,640.319,640.319,0.0,0.0,0.0,,,0.0,0.0,,2.0,2.0,0.0,0.0,0.0
3,ThomDietrich,Human,0.934,95,92,9,13,0.722,22.557,1.767,43.593,0.778,5.111,2.0,0.594,4.25,1.611,1.0,0.916,0.266,2.706,4.338,1.0,11.591,0.0,33.281,0.993,50.259,28.622,61.306,0.61,69.931,41.504,5.153,63.733,0.713,53.121,10.222,2.0,15.147,0.647,7.0
4,anandab-msft,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,brianseeders,Human,0.842,100,84,9,2,1.0,2.623,0.006,11.68,0.947,42.0,42.0,0.083,7.0,6.0,6.0,4.243,0.25,1.647,0.996,1.0,2.544,0.0,12.27,0.014,1.759,0.003,9.714,0.963,0.055,2.978,0.005,12.51,0.943,0.164,9.333,9.0,7.314,0.413,14.0
6,atburke,Human,0.418,272,252,11,1,1.0,6.236,0.296,16.342,0.851,252.0,252.0,0.0,0.0,11.0,11.0,0.0,0.0,252.0,0.0,0.0,1565.215,1565.215,0.0,0.0,,,0.0,0.0,,6.705,0.261,17.772,0.855,1.308,22.909,20.0,25.141,0.482,20.5
7,Nikhil-Nandagopal,Bot,0.536,35,29,3,1,1.0,20.086,0.835,39.965,0.793,29.0,29.0,0.0,0.0,3.0,3.0,0.0,0.0,29.0,0.0,0.0,562.409,562.409,0.0,0.0,,,0.0,0.0,,19.168,0.861,36.137,0.776,18.109,9.667,9.0,9.018,0.414,9.0
8,RahulGautamSingh,Human,0.94,100,82,11,4,0.571,6.846,0.96,12.905,0.755,11.714,2.0,0.624,18.0,2.143,2.0,1.773,0.343,1.608,0.896,1.0,4.255,0.0,8.851,1.858,6.75,1.025,14.632,0.79,5.204,6.99,1.091,13.752,0.765,7.341,7.455,4.0,10.415,0.601,6.0
9,jacob-delgado,Human,0.863,195,190,9,3,0.333,11.576,0.432,22.907,0.79,21.111,15.0,0.572,29.0,2.333,2.0,1.225,0.254,1.462,0.827,1.0,3.851,0.0,12.663,0.012,13.08,0.801,25.633,0.79,12.579,12.581,0.432,25.432,0.802,12.202,21.111,10.0,24.847,0.574,26.0
10,shirshanka,Human,0.945,100,83,9,4,0.571,20.244,0.218,105.977,0.941,11.857,7.0,0.509,21.0,2.429,2.0,1.813,0.353,1.93,1.404,2.0,21.732,0.0,135.737,0.167,17.275,0.275,68.617,0.893,6.488,12.691,0.129,57.304,0.91,3.908,9.222,6.0,10.768,0.535,9.0
11,hoangpq,Human,0.146,108,108,3,94,0.904,20.374,0.09,41.421,0.816,1.038,1.0,0.036,0.0,1.019,1.0,0.138,0.019,1.019,0.137,0.0,0.0,0.0,0.0,0.0,20.763,0.144,41.72,0.812,19.384,42.619,10.899,61.004,0.663,64.912,36.0,2.0,58.89,0.63,51.0
12,mowies,Human,0.952,100,87,11,7,0.7,2.04,0.079,9.944,0.913,8.7,4.5,0.62,5.75,3.1,2.0,2.807,0.435,2.559,2.904,1.75,0.813,0.0,3.276,0.189,4.478,0.418,15.545,0.867,1.916,2.544,0.073,11.231,0.91,0.677,7.909,7.0,5.665,0.345,3.5
13,carlomanf,Unknown,-,5,5,2,2,1.0,364.248,97.213,602.764,0.671,2.5,2.5,0.1,0.5,1.5,1.5,0.707,0.167,2.5,0.707,0.5,648.613,648.613,868.195,613.907,159.767,159.767,0.0,0.0,0.0,1262.519,1262.519,0.0,0.0,0.0,2.5,2.5,2.121,0.3,1.5
14,oprypin,Human,0.956,100,90,13,10,0.714,15.183,0.328,28.178,0.776,6.429,1.5,0.6,11.0,2.571,1.0,2.793,0.464,2.647,2.268,2.0,11.612,0.025,24.84,3.071,28.984,14.104,36.317,0.601,42.728,20.734,3.766,32.662,0.717,24.756,6.923,4.0,7.815,0.489,4.0
15,galipremsagar,Human,0.002,254,236,6,15,0.484,1.872,0.079,9.283,0.906,7.613,2.0,0.748,2.0,1.419,1.0,0.672,0.205,1.788,1.708,1.0,1.341,0.0,7.483,0.038,2.007,0.121,10.517,0.9,0.688,2.139,0.083,11.205,0.917,0.521,39.333,27.5,33.249,0.379,25.25
16,lxhao61,Human,0.933,200,200,10,10,0.769,7.296,0.025,28.556,0.914,15.385,1.0,0.835,1.0,1.538,1.0,1.198,0.292,5.714,10.487,3.0,23.663,0.046,86.951,5.986,18.347,8.376,24.961,0.644,26.73,8.898,0.225,17.583,0.795,9.589,20.0,3.5,39.825,0.733,18.75
17,ckerr,Bot,0.412,266,211,8,1,0.03,1.011,0.004,3.823,0.901,6.394,3.0,0.594,0.0,2.788,3.0,1.219,0.159,4.689,6.882,0.0,3.072,0.002,8.505,0.003,1.686,0.01,6.808,0.911,0.54,0.686,0.003,2.189,0.894,0.182,26.375,15.5,24.634,0.473,43.25
18,evaherrada,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,v-rpatkur,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,KarlJoad,Human,0.921,100,97,11,10,0.417,9.45,0.546,20.664,0.803,4.042,3.0,0.467,4.25,1.625,1.0,1.096,0.294,1.54,0.981,1.0,2.284,0.0,13.402,0.026,12.313,2.845,22.974,0.748,12.925,8.936,0.267,19.751,0.822,5.749,8.818,3.0,16.851,0.652,4.5
21,FasterSpeeding,Invalid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,jarlebring,Unknown,-,9,9,3,3,1.0,0.722,0.278,0.917,0.564,3.0,1.0,0.444,3.0,1.667,1.0,1.155,0.267,2.25,1.5,2.25,0.743,0.236,1.193,0.979,0.933,0.289,1.22,0.517,1.085,0.571,0.266,0.829,0.571,0.083,3.0,3.0,2.0,0.296,2.0
23,vladsavelyev,Human,0.958,100,86,11,4,0.667,2.454,0.034,12.451,0.949,14.333,3.5,0.682,5.5,3.667,2.5,3.559,0.455,3.44,5.591,2.0,2.007,0.0,6.349,0.07,6.601,0.036,22.743,0.922,0.081,1.145,0.021,7.276,0.948,0.091,7.818,7.0,9.064,0.501,7.5
24,joker234,Human,0.852,66,59,7,2,0.4,31.413,0.033,118.98,0.933,11.8,2.0,0.59,15.0,3.2,2.0,2.168,0.325,7.375,8.895,13.5,41.946,0.274,86.424,26.245,212.343,64.596,284.962,0.619,339.696,72.762,0.51,174.615,0.847,48.079,8.429,5.0,9.863,0.518,6.0
25,yajra,Human,0.949,100,83,13,3,0.25,10.413,0.031,27.36,0.861,6.917,3.5,0.543,10.5,3.667,2.5,3.114,0.436,3.952,3.008,4.0,17.387,0.089,39.995,14.702,24.437,7.075,37.332,0.69,36.751,9.221,0.03,23.119,0.846,3.759,6.385,6.0,5.65,0.426,5.0
26,JimmyCYJ,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,amedyne,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,lholmquist,Bot,0.799,100,100,5,4,0.235,2.172,0.001,6.427,0.901,5.882,3.0,0.386,3.0,2.882,3.0,0.485,0.038,3.448,1.478,0.0,0.827,0.001,4.307,0.0,6.824,0.168,9.952,0.702,16.015,2.13,0.001,6.446,0.904,0.059,20.0,20.0,14.053,0.348,21.0
29,harrism,Human,0.95,100,76,11,3,0.231,9.534,0.087,53.816,0.937,5.846,4.0,0.512,3.0,2.692,3.0,1.601,0.312,1.854,2.007,1.0,2.607,0.0,14.692,0.03,15.205,0.534,72.143,0.905,6.794,12.804,0.283,67.389,0.927,2.44,6.909,2.0,8.826,0.548,8.0
30,marius-dr,Human,0.746,34,29,8,1,1.0,57.301,0.499,189.055,0.896,29.0,29.0,0.0,0.0,8.0,8.0,0.0,0.0,29.0,0.0,0.0,1604.427,1604.427,0.0,0.0,,,0.0,0.0,,64.62,0.075,207.537,0.897,12.837,3.625,4.0,2.504,0.349,4.0
31,Dineshs91,Unknown,-,5,5,2,5,1.0,300.304,212.493,310.161,0.472,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,300.304,212.493,310.161,0.472,359.271,52.588,52.588,0.0,0.0,0.0,2.5,2.5,2.121,0.3,1.5
32,kaushikb11,Human,0.94,66,66,9,6,0.667,30.756,0.77,101.328,0.881,7.333,2.0,0.67,1.0,1.889,2.0,1.269,0.288,1.467,1.036,1.0,6.684,0.0,35.321,0.029,38.599,0.737,117.859,0.861,36.956,32.353,0.77,108.082,0.878,7.083,7.333,4.0,8.292,0.515,9.0
33,huyenltnguyen,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
