,contributor,type,confidence,events,NA,NT,NOR,ORR,DCA_mean,DCA_median,DCA_std,DCA_gini,NAR_mean,NAR_median,NAR_gini,NAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NCAR_mean,NCAR_std,NCAR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR
0,contributor,Human,0.942,44,42,9,9,0.6,48.666,0.169,112.671,0.85,2.8,3.0,0.314,2.0,1.667,1.0,0.816,0.245,1.909,1.231,1.75,2.716,0.0,7.079,0.12,92.17,0.675,145.834,0.73,138.761,61.779,0.334,128.978,0.824,37.078,4.667,3.0,4.975,0.466,3.0
1,waybackarchiver,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,ankitarorabit,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,enxebre,Human,0.772,100,74,6,3,0.6,4.31,0.324,11.689,0.842,14.8,14.0,0.443,22.0,2.0,2.0,1.225,0.28,3.364,3.54,3.0,5.057,0.178,12.818,1.98,9.683,1.455,19.547,0.783,3.059,6.712,0.735,16.29,0.827,2.522,12.333,10.0,10.985,0.437,18.5
4,gabriellsh,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,ericmustin,Human,0.824,15,13,5,3,0.6,136.055,43.987,162.251,0.608,2.6,3.0,0.215,1.0,1.6,2.0,0.548,0.15,1.857,1.069,2.0,14.059,0.0,26.458,14.95,255.708,287.488,151.663,0.295,170.833,99.657,29.741,132.132,0.617,167.108,2.6,2.0,1.949,0.308,0.0
6,NewellClark,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,JB1905,Human,0.575,10,10,1,8,0.8,165.025,21.509,246.676,0.686,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,165.025,21.509,246.676,0.686,204.071,,,0.0,0.0,,10.0,10.0,0.0,0.0,0.0
8,thegecko,Human,0.953,100,81,11,8,0.615,4.782,0.026,14.205,0.897,6.231,2.0,0.598,7.0,2.231,2.0,1.536,0.34,3.24,3.551,3.0,2.351,0.001,10.239,0.01,13.492,3.072,21.649,0.72,14.314,5.649,0.013,15.507,0.886,0.998,7.364,3.0,8.382,0.554,11.5
9,MrKrisKrisu,Human,0.959,100,74,13,3,0.6,13.361,0.023,33.67,0.873,14.8,1.0,0.735,2.0,3.2,1.0,4.382,0.525,10.571,17.396,8.5,81.416,20.246,153.837,62.618,67.578,74.874,60.165,0.452,94.836,13.812,0.016,34.891,0.874,0.324,5.692,3.0,5.528,0.457,5.0
10,carmocca,Human,0.953,26,22,9,6,0.857,88.157,1.322,156.143,0.771,3.143,1.0,0.532,1.5,1.857,1.0,1.464,0.33,2.2,2.201,1.75,7.348,0.0,22.671,0.027,197.534,151.671,191.858,0.507,327.192,89.452,1.322,162.58,0.777,58.498,2.444,3.0,0.882,0.162,1.0
11,rsarwad,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,klen,Invalid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
