,contributor,type,confidence,events,NA,NT,NOR,ORR,DCA_mean,DCA_median,DCA_std,DCA_gini,NAR_mean,NAR_median,NAR_gini,NAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NCAR_mean,NCAR_std,NCAR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR
0,contributor,Human,0.942,44,42,9,9,0.6,48.666,0.169,112.671,0.85,2.8,3.0,0.314,2.0,1.667,1.0,0.816,0.245,1.909,1.231,1.75,2.716,0.0,7.079,0.12,92.17,0.675,145.834,0.73,138.761,61.779,0.334,128.978,0.824,37.078,4.667,3.0,4.975,0.466,3.0
1,TayGov,Human,0.549,173,139,8,1,0.2,12.907,0.008,44.963,0.921,27.8,9.0,0.55,37.0,5.2,5.0,2.775,0.262,10.692,13.162,9.0,124.311,0.245,351.142,0.727,13.761,3.666,20.739,0.669,20.813,14.023,0.007,46.716,0.914,0.358,17.375,17.0,8.228,0.249,12.0
2,vovakulikov,Human,0.827,200,156,9,2,1.0,4.381,0.189,13.993,0.871,78.0,78.0,0.494,77.0,4.5,4.5,4.95,0.389,52.0,46.487,45.5,215.572,291.623,189.369,177.547,16.172,16.172,11.525,0.252,8.149,6.227,0.345,16.855,0.844,3.393,17.333,14.0,11.533,0.315,3.0
3,stephanie-wang,Human,0.94,200,160,9,4,1.0,6.345,0.044,20.896,0.911,40.0,10.0,0.662,42.0,2.5,1.0,3.0,0.45,8.421,18.413,5.0,40.636,0.258,114.56,6.559,13.159,4.454,19.746,0.689,17.649,18.652,1.251,34.185,0.775,18.946,17.778,6.0,31.112,0.656,12.0
4,tcitworld,Human,0.948,100,81,13,5,0.455,8.32,0.103,20.785,0.851,7.364,5.0,0.519,5.0,3.455,3.0,2.115,0.33,2.7,2.806,1.0,4.086,0.023,10.819,0.887,18.726,2.563,30.607,0.718,24.857,10.45,0.29,23.355,0.826,5.669,6.231,5.0,4.693,0.395,5.0
5,hreinecke,Human,0.926,55,54,9,4,0.5,38.362,0.573,142.33,0.919,6.75,4.0,0.472,3.0,2.5,2.5,1.195,0.25,2.842,2.141,3.0,20.68,0.109,49.92,2.432,91.126,0.595,235.525,0.872,11.683,63.706,0.419,188.838,0.891,12.35,6.0,2.0,6.481,0.519,9.0
6,elder-joseph,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,gasinvein,Unknown,-,1,1,1,1,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,1.0,1.0,0.0,0.0,0.0
8,calcsam,Unknown,-,3,3,3,2,1.0,549.96,549.96,777.76,0.5,1.5,1.5,0.167,0.5,1.5,1.5,0.707,0.167,1.5,0.707,0.5,0.0,0.0,0.0,0.0,1099.919,1099.919,0.0,0.0,0.0,549.96,549.96,777.76,0.5,549.959,1.0,1.0,0.0,0.0,0.0
9,AlexRouSg,Unknown,-,1,1,1,1,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,1.0,1.0,0.0,0.0,0.0
10,ywelsch,Human,0.607,15,12,5,2,0.333,153.94,3.284,279.188,0.769,2.0,1.0,0.361,1.5,1.333,1.0,0.516,0.167,1.2,0.422,0.0,0.424,0.0,1.049,0.0,187.678,3.905,300.648,0.72,308.975,169.006,2.43,289.538,0.748,233.317,2.4,3.0,0.894,0.167,1.0
