,contributor,type,confidence,events,NA,NT,NOR,ORR,DCA_mean,DCA_median,DCA_std,DCA_gini,NAR_mean,NAR_median,NAR_gini,NAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NCAR_mean,NCAR_std,NCAR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR
0,contributor,Human,0.942,44,42,9,9,0.6,48.666,0.169,112.671,0.85,2.8,3.0,0.314,2.0,1.667,1.0,0.816,0.245,1.909,1.231,1.75,2.716,0.0,7.079,0.12,92.17,0.675,145.834,0.73,138.761,61.779,0.334,128.978,0.824,37.078,4.667,3.0,4.975,0.466,3.0
1,drupol,Human,0.874,100,83,10,6,0.5,0.601,0.05,1.856,0.846,6.917,2.5,0.569,6.0,2.667,2.0,2.015,0.37,2.243,1.832,2.0,0.182,0.0,0.406,0.092,1.181,0.106,2.69,0.799,0.849,0.619,0.051,1.943,0.851,0.326,8.3,7.5,5.208,0.319,5.75
2,kiwitcms-bot,Bot,0.817,100,100,4,1,1.0,10.984,0.002,42.591,0.874,100.0,100.0,0.0,0.0,4.0,4.0,0.0,0.0,100.0,0.0,0.0,1087.378,1087.378,0.0,0.0,,,0.0,0.0,,10.911,0.002,43.516,0.882,0.256,25.0,26.0,12.543,0.24,12.0
3,proose,Human,0.77,18,16,6,2,1.0,124.891,3.156,215.586,0.739,8.0,8.0,0.0,0.0,3.0,3.0,1.414,0.167,1.333,0.778,0.0,55.814,0.0,193.294,0.0,109.417,3.156,198.905,0.738,130.772,92.597,0.783,186.159,0.778,95.055,2.667,2.0,1.751,0.292,0.75
4,BachoSeven,Human,0.933,66,65,8,36,0.735,31.497,0.844,78.477,0.832,1.327,1.0,0.198,0.0,1.061,1.0,0.317,0.056,1.14,0.398,0.0,0.05,0.0,0.362,0.0,35.946,1.724,83.024,0.81,30.389,34.687,3.158,71.88,0.772,35.482,8.125,1.0,13.83,0.671,8.25
5,kvtb,Human,0.948,27,19,7,8,1.0,109.862,2.29,229.547,0.812,2.375,1.0,0.467,1.0,1.375,1.0,0.518,0.17,2.375,3.114,1.0,1.192,0.0,2.498,0.668,281.142,166.674,305.428,0.528,302.106,180.654,22.616,290.378,0.72,220.939,2.714,2.0,2.43,0.376,1.0
6,AlecAivazis,Human,0.886,100,82,12,1,0.5,15.144,0.059,52.09,0.906,41.0,41.0,0.463,38.0,7.0,7.0,5.657,0.286,16.4,21.267,12.0,218.626,4.569,327.634,349.504,33.38,11.719,51.509,0.648,42.966,17.721,0.042,57.353,0.902,1.07,6.833,4.5,7.272,0.492,5.75
7,Aurorum,Human,0.87,200,179,10,2,0.333,9.32,0.144,20.398,0.828,29.833,10.5,0.561,44.5,3.167,2.5,1.941,0.307,1.946,1.401,2.0,6.033,0.0,18.819,0.095,12.13,0.358,22.811,0.785,14.194,9.817,0.131,21.284,0.828,5.512,17.9,16.0,20.185,0.536,21.75
8,ocefpaf,Human,0.797,100,67,11,11,0.355,0.661,0.035,2.27,0.885,2.161,2.0,0.361,1.5,1.323,1.0,0.599,0.19,1.367,0.755,0.0,0.319,0.0,1.763,0.0,0.582,0.048,2.031,0.856,0.24,0.528,0.044,2.016,0.872,0.174,6.091,2.0,7.162,0.562,8.5
9,yash-rajpal,Human,0.253,298,249,7,1,0.5,8.208,0.41,26.931,0.859,124.5,124.5,0.251,62.5,6.0,6.0,1.414,0.083,17.786,28.309,11.25,108.47,8.014,215.402,134.191,39.773,18.445,68.566,0.66,21.744,9.179,0.865,26.841,0.83,5.453,35.571,19.0,46.425,0.563,23.0
10,awanlin,Human,0.928,100,79,11,4,0.444,1.217,0.005,4.166,0.913,8.778,1.0,0.65,9.0,2.667,1.0,2.236,0.407,3.038,4.005,2.75,0.765,0.001,2.956,0.044,3.0,0.181,6.462,0.811,1.723,1.54,0.007,4.707,0.899,0.181,7.182,3.0,7.25,0.516,11.0
11,estambakio-sc,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,davidism,Human,0.944,100,87,12,6,0.4,2.718,0.048,7.767,0.885,5.8,1.0,0.737,1.0,2.067,1.0,2.576,0.443,3.783,7.663,1.0,1.341,0.0,4.463,0.026,9.223,1.915,13.012,0.675,19.052,2.608,0.046,6.587,0.866,0.588,7.25,6.5,4.712,0.348,5.75
13,Nidhideveloper,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,hyperupcall,Human,0.908,100,92,10,28,0.903,2.174,0.044,5.157,0.85,2.968,1.0,0.614,0.0,1.323,1.0,1.077,0.225,1.957,3.526,0.5,0.439,0.0,2.742,0.0,3.852,0.292,6.657,0.761,2.734,3.098,0.075,6.261,0.808,1.9,9.2,4.0,11.173,0.554,7.25
15,Wanghuang-Huawei,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,pukkandan,Bot,0.905,100,51,1,1,0.5,12.965,0.361,33.24,0.85,25.5,25.5,0.265,13.5,1.0,1.0,0.0,0.0,2.125,2.193,1.0,4.287,0.0,14.528,0.16,23.711,2.397,44.927,0.761,21.776,,,0.0,0.0,,51.0,51.0,0.0,0.0,0.0
17,Saelfen,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,lance6716,Human,0.863,100,78,8,3,0.75,3.465,0.168,19.212,0.914,19.5,10.5,0.5,15.0,2.75,2.0,1.5,0.205,2.889,2.651,2.0,1.34,0.016,3.97,0.592,8.869,0.379,32.698,0.894,2.362,1.263,0.278,2.611,0.745,0.93,9.75,4.5,10.553,0.522,12.25
19,mzeitlin11,Human,0.952,29,25,11,4,1.0,68.729,0.587,141.675,0.817,6.25,3.5,0.51,6.25,3.75,3.5,2.754,0.35,3.125,3.044,4.5,98.041,0.0,204.016,54.511,123.594,2.736,174.853,0.66,230.135,86.695,1.357,159.778,0.783,101.094,2.273,2.0,2.611,0.4,1.0
20,TszKitLo40,Human,0.915,17,17,9,3,1.0,65.424,7.378,114.26,0.745,5.667,5.0,0.157,2.0,3.0,3.0,0.0,0.0,1.7,1.337,0.75,26.092,0.0,61.594,17.43,87.317,7.357,140.482,0.714,88.529,69.727,6.232,124.271,0.747,71.323,1.889,1.0,1.364,0.327,1.0
21,saad-mo,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,RuiHou105,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,alexanderfle,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,fuchsnj,Human,0.892,220,181,11,2,1.0,12.13,0.1,41.962,0.888,90.5,90.5,0.489,88.5,6.0,6.0,5.657,0.333,60.333,89.187,80.5,722.619,151.222,1123.09,1008.197,7.773,7.773,1.634,0.074,1.156,14.875,0.129,48.71,0.874,4.603,16.455,16.0,16.765,0.504,18.5
25,ianton-ru,Human,0.907,42,36,7,2,0.667,50.816,0.899,178.621,0.905,12.0,6.0,0.519,14.0,3.333,4.0,2.082,0.267,12.0,14.933,14.0,87.424,19.988,134.485,121.142,758.138,758.138,126.858,0.059,89.702,137.892,1.336,293.076,0.812,52.084,5.143,2.0,8.071,0.611,3.0
26,augusto2112,Human,0.877,100,81,8,3,0.6,5.987,0.03,16.467,0.87,16.2,19.0,0.39,13.0,3.6,4.0,2.074,0.289,1.653,0.879,1.0,2.837,0.0,13.717,0.018,7.083,0.036,16.364,0.826,2.573,6.111,0.024,15.048,0.843,2.461,10.125,11.5,5.139,0.261,7.0
27,lex111,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,Kobzol,Human,0.884,100,87,14,8,0.471,0.534,0.045,1.437,0.835,5.118,3.0,0.537,3.0,2.353,2.0,2.149,0.397,1.812,1.315,1.0,0.05,0.0,0.133,0.003,0.926,0.203,1.86,0.764,0.694,0.652,0.056,1.584,0.816,0.454,6.214,5.0,5.78,0.454,4.5
29,kubukoz,Human,0.905,100,84,13,14,0.519,2.537,0.088,7.043,0.864,3.111,2.0,0.514,2.0,1.519,1.0,0.935,0.266,1.75,1.828,1.0,1.349,0.0,7.155,0.003,3.102,0.489,7.361,0.813,1.908,2.784,0.1,7.066,0.849,1.349,6.462,4.0,7.253,0.526,7.0
