,contributor,type,confidence,events,NA,NT,NOR,ORR,DCA_mean,DCA_median,DCA_std,DCA_gini,NAR_mean,NAR_median,NAR_gini,NAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NCAR_mean,NCAR_std,NCAR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR
0,contributor,Human,0.942,44,42,9,9,0.6,48.666,0.169,112.671,0.85,2.8,3.0,0.314,2.0,1.667,1.0,0.816,0.245,1.909,1.231,1.75,2.716,0.0,7.079,0.12,92.17,0.675,145.834,0.73,138.761,61.779,0.334,128.978,0.824,37.078,4.667,3.0,4.975,0.466,3.0
1,ansibot,Bot,0.748,42,41,3,1,1.0,5.486,2.657,8.731,0.656,41.0,41.0,0.0,0.0,3.0,3.0,0.0,0.0,41.0,0.0,0.0,219.458,219.458,0.0,0.0,,,0.0,0.0,,8.167,7.643,7.889,0.494,7.449,13.667,16.0,11.676,0.374,11.5
2,kokkos-devops-admin,Bot,0.424,278,278,2,2,1.0,4.179,1.115,19.195,0.777,139.0,139.0,0.493,137.0,1.0,1.0,0.0,0.0,139.0,193.747,137.0,422.257,422.257,596.897,422.07,313.197,313.197,0.0,0.0,0.0,313.197,313.197,0.0,0.0,0.0,139.0,139.0,193.747,0.493,137.0
3,r-burns,Human,0.946,13,12,8,3,0.75,127.238,1.142,202.603,0.723,3.0,2.5,0.375,3.5,2.0,1.5,1.414,0.312,1.2,0.632,0.0,5.894,0.0,18.638,0.0,148.965,1.142,219.482,0.691,265.129,127.238,1.142,202.603,0.723,168.934,1.5,1.5,0.535,0.167,1.0
4,JoshuaGoode,Unknown,-,1,1,1,1,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,1.0,1.0,0.0,0.0,0.0
5,imflash217,Human,0.89,46,46,7,26,0.963,46.856,13.513,74.99,0.701,1.704,1.0,0.375,0.0,1.185,1.0,0.681,0.146,1.243,0.548,0.0,1.187,0.0,5.102,0.0,57.35,21.071,80.505,0.648,62.142,37.116,13.513,61.404,0.684,34.453,6.571,2.0,8.304,0.559,6.5
6,bame-da,Unknown,-,8,7,5,1,1.0,140.089,0.407,341.451,0.832,7.0,7.0,0.0,0.0,5.0,5.0,0.0,0.0,7.0,0.0,0.0,840.531,840.531,0.0,0.0,,,0.0,0.0,,140.089,0.407,341.451,0.832,2.135,1.4,1.0,0.548,0.171,1.0
7,KadoBOT,Unknown,-,2,2,1,2,1.0,1760.462,1760.462,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1760.462,1760.462,0.0,0.0,0.0,,,0.0,0.0,,2.0,2.0,0.0,0.0,0.0
8,defcronyke,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,b-koopman,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
