,contributor,type,confidence,events,NA,NT,NOR,ORR,DCA_mean,DCA_median,DCA_std,DCA_gini,NAR_mean,NAR_median,NAR_gini,NAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NCAR_mean,NCAR_std,NCAR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR
0,contributor,Human,0.942,44,42,9,9,0.6,48.666,0.169,112.671,0.85,2.8,3.0,0.314,2.0,1.667,1.0,0.816,0.245,1.909,1.231,1.75,2.716,0.0,7.079,0.12,92.17,0.675,145.834,0.73,138.761,61.779,0.334,128.978,0.824,37.078,4.667,3.0,4.975,0.466,3.0
1,adjackura,Unknown,-,3,2,2,1,1.0,0.002,0.002,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.002,0.002,0.0,0.0,,,0.0,0.0,,0.002,0.002,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2,dargmuesli,Human,0.943,100,87,12,7,0.467,2.284,0.093,6.393,0.857,5.8,2.0,0.611,1.0,2.733,2.0,2.187,0.367,2.486,2.406,1.0,1.356,0.0,5.521,0.051,4.38,0.3,9.11,0.779,4.872,2.796,0.092,7.159,0.846,1.268,7.25,5.0,7.399,0.497,10.0
3,karenkliu,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,allison0034,Bot,0.721,149,149,4,1,0.5,10.101,1.835,18.568,0.744,74.5,74.5,0.48,71.5,2.5,2.5,2.121,0.3,49.667,46.501,46.5,497.917,416.069,475.476,470.162,0.597,0.597,0.498,0.295,0.352,12.072,2.399,20.43,0.716,18.689,37.25,19.0,42.13,0.461,28.25
5,yilmi,Unknown,-,3,3,2,2,1.0,958.051,958.051,1084.909,0.4,1.5,1.5,0.167,0.5,1.0,1.0,0.0,0.0,1.5,0.707,0.5,95.452,95.452,134.99,95.452,1725.197,1725.197,0.0,0.0,0.0,1725.197,1725.197,0.0,0.0,0.0,1.5,1.5,0.707,0.167,0.5
6,mcarilli,Human,0.866,10,9,7,1,0.333,179.476,0.375,363.977,0.794,3.0,2.0,0.37,2.5,2.667,1.0,2.887,0.417,2.25,2.5,1.25,13.391,0.0,26.781,13.391,460.75,354.222,522.208,0.496,513.994,205.113,0.447,385.26,0.765,203.244,1.286,1.0,0.756,0.19,0.0
7,dcplaya,Bot,0.423,299,201,3,5,1.0,6.823,0.179,14.727,0.822,40.2,1.0,0.78,0.0,1.2,1.0,0.447,0.133,22.333,30.574,30.0,129.922,25.698,180.625,356.39,24.424,16.136,27.918,0.568,33.692,11.326,3.232,17.808,0.697,13.425,67.0,98.0,54.562,0.315,47.5
8,tim-dot-org,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,NathanSweet,Human,0.939,59,47,8,10,0.714,47.011,21.379,61.459,0.648,3.357,1.0,0.555,2.0,1.643,1.0,0.842,0.252,1.424,0.969,1.0,17.775,0.0,66.272,0.216,49.248,33.756,53.263,0.567,71.819,54.02,21.379,68.044,0.639,83.386,5.875,3.5,5.489,0.465,8.25
10,phil-opp,Human,0.951,100,83,10,6,0.75,3.366,0.021,15.248,0.945,10.375,9.0,0.517,12.25,3.5,2.0,3.117,0.438,2.677,2.713,2.0,6.131,0.0,29.958,0.032,2.866,0.036,10.603,0.921,0.238,3.911,0.018,17.13,0.945,0.14,8.3,5.5,8.015,0.447,6.25
11,samarsha,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,swift-kim,Human,0.951,38,35,9,3,0.6,61.884,0.098,127.326,0.818,7.0,1.0,0.583,9.0,2.8,1.0,2.683,0.429,3.5,3.629,4.0,128.049,0.0,276.463,36.828,91.507,0.089,149.061,0.724,193.432,50.921,0.691,107.606,0.809,29.945,3.889,2.0,4.076,0.495,5.0
13,willfish,Human,0.929,100,87,9,3,0.3,4.431,0.041,14.206,0.904,8.7,6.5,0.403,4.25,4.0,4.5,2.16,0.29,3.0,1.909,2.0,6.469,0.005,23.975,0.108,6.91,0.648,12.677,0.763,8.342,2.404,0.01,8.587,0.918,0.269,9.667,9.0,7.0,0.37,8.0
14,stephmilovic,Human,0.909,100,74,9,3,1.0,1.002,0.155,3.151,0.819,24.667,20.0,0.468,26.0,3.667,2.0,3.786,0.424,2.0,2.273,1.0,0.795,0.0,3.133,0.041,1.214,0.191,3.698,0.817,0.663,0.96,0.192,2.966,0.789,0.76,8.222,8.0,6.2,0.396,11.0
15,ebalazs-sv,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,matheusfelipeog,Human,0.906,17,17,4,17,1.0,128.983,14.363,203.505,0.718,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,128.983,14.363,203.505,0.718,256.303,328.443,306.316,290.098,0.419,248.231,4.25,1.0,6.5,0.574,3.25
17,vitelabs-bot,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,CaioAugustoo,Unknown,-,8,8,3,5,1.0,120.262,74.347,136.49,0.571,1.6,2.0,0.15,1.0,1.6,2.0,0.548,0.15,1.6,0.548,1.0,0.001,0.001,0.001,0.001,210.457,215.226,109.314,0.249,103.27,120.262,74.347,136.49,0.571,215.224,2.667,3.0,1.528,0.25,1.5
19,leoloso,Bot,0.896,100,100,2,9,0.102,1.134,0.0,6.839,0.964,1.136,1.0,0.116,0.0,1.034,1.0,0.183,0.032,1.053,0.268,0.0,0.553,0.0,5.389,0.0,0.636,0.0,4.55,0.972,0.001,0.015,0.0,0.029,0.495,0.015,50.0,50.0,66.468,0.47,47.0
20,tassoevan,Human,0.825,285,278,9,2,0.667,3.286,0.04,10.544,0.851,92.667,2.0,0.657,137.0,3.667,2.0,3.786,0.424,69.5,89.854,109.0,226.266,171.821,275.981,398.078,1.683,2.099,1.163,0.292,1.106,3.541,0.047,11.697,0.871,2.213,30.889,9.0,51.05,0.684,8.0
21,brdunfield,Human,0.521,100,78,9,1,1.0,15.237,0.095,44.939,0.886,78.0,78.0,0.0,0.0,9.0,9.0,0.0,0.0,78.0,0.0,0.0,1173.25,1173.25,0.0,0.0,,,0.0,0.0,,16.729,0.095,47.238,0.878,2.228,8.667,11.0,4.0,0.239,5.0
22,ti-mo,Human,0.93,100,78,9,3,0.75,1.971,0.088,10.991,0.929,19.5,3.5,0.679,21.0,3.25,2.0,3.304,0.442,5.2,7.571,5.0,7.56,0.223,25.277,2.613,2.739,0.15,5.867,0.816,0.255,4.376,0.156,16.625,0.905,0.86,8.667,3.0,16.294,0.615,3.0
23,traceon,Unknown,-,4,4,4,2,0.667,0.262,0.13,0.326,0.517,1.333,1.0,0.167,0.5,1.333,1.0,0.577,0.167,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262,0.13,0.326,0.517,0.305,0.262,0.13,0.326,0.517,0.305,1.0,1.0,0.0,0.0,0.0
24,ike709,Human,0.947,100,92,12,7,0.875,5.083,0.186,10.131,0.803,11.5,1.5,0.671,11.5,2.125,1.0,2.475,0.434,1.614,1.411,1.0,3.348,0.0,13.423,0.038,4.852,0.233,10.101,0.814,2.38,5.088,0.24,9.984,0.8,2.37,7.667,3.5,8.327,0.502,6.75
25,thegedge,Human,0.955,100,84,11,4,0.667,23.424,0.186,60.207,0.855,14.0,10.5,0.433,15.75,2.833,2.0,2.137,0.324,2.154,1.479,2.0,30.665,0.0,96.815,1.364,19.691,0.352,36.642,0.79,17.273,22.439,0.275,54.981,0.841,16.882,7.636,5.0,6.903,0.457,8.0
26,HonkingGoose,Human,0.836,100,78,9,2,0.667,3.236,0.036,11.599,0.927,26.0,6.0,0.53,31.0,3.333,3.0,1.528,0.2,7.091,11.467,3.0,17.95,0.009,40.547,2.599,5.174,0.106,10.768,0.803,0.385,3.805,0.045,11.139,0.894,0.284,8.667,3.0,17.139,0.687,5.0
27,mmews-n4,,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,leseb,Human,0.854,100,85,9,2,1.0,1.098,0.073,2.935,0.847,42.5,42.5,0.018,1.5,5.0,5.0,2.828,0.2,2.429,2.16,2.5,1.043,0.0,3.579,0.26,1.638,0.131,3.398,0.789,1.085,1.396,0.101,3.346,0.826,0.845,9.444,6.0,9.235,0.439,6.0
29,sevirov,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,andschwa,Unknown,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
